,AGRICULTURE ,,,,,
,AGRICULTURE MACHINERY EQUIPMENT,,,,,
No.,Company Name,Phone Numbers,Email,Website,Post Number,Location
1,AMIO ENGINEERING INDUSTRIAL & AGRICULTURING MACHINERIS MANUFACTURING PLC,"251114168266
251114165003
251911222641
251911228093
251114168212
","amioengineering1@gmail.com
Agrimachinery2641amio@gmail.com",www.amioengineeringplc.com,25946,
2,"ADAMA AGRICULTURAL MACHINERY
 INDUSTRY","251-221114144
251-221111843
251-221122862
251-221111866
","adamaagri@gmail.com
aami-tractor@yahoo.com",,,
3,"A.L.T AGRICULTURE EQUIPMENT 
 P.L.C","251-118964870
251929905520/21
251-912630427
",,,2075,
4,"ACME ENGINEERING AND
 TRADING PLC","251-116639615
251-911522598
251-911456345
251-116637778
",,,1453,
5,ADEB ENGINEERING AND TRADING PLC,"251-114717500
251-114404578
251-114717602
251-114717600
","adebeng@ethionet.et
nigiru@ethionet.et
nigiru@adebengineering.com",www.adebengineering.com,24162/1000,
6,AGRICULTURAL MECHANIZATION SERVICE ENTERPRISE,"251-115526511
251-115151652
251-115535799
",,,62306,
7,AGRICULTURAL MECHANIZATION,"251-115526511
251-115151652
251-115154303
251-115535799
",,,62306,
8,AGRITEC SYSTEM PLC.,"251-116639240
251-116639345
",agrsy@ethionet.et,,7553,
9,AGRO-VET PRIVATE LIMITED COMPANY,"251-115544749
251-911203849
251-115544730
",agrovetplc1997@gmail.com,,,
10,AKAKI SPARE PARTS & HAND TOOLS S.C,"251-114340422
251-114340919/18
251-114341426
251-114341426
",aspsc@ethionet.et,,7334,
11,"ALMAZ WAKWOYA AND
 FAMILY FOOD COMPLEX PLC
","251-116674884/41
251-113382241/42
251-911203536
251-116674991
251-113384150
",almaz.bijare@gmail.com,www.almazwakwoyaexportimport.com,,
12,"ALT AGRICULTURAL EQUIPMENT 
 PLC","251-118495494/93
251-911253879
251-929905520/21/22
251-911207997
251-114703353
","leulb69@yahoo.com
alt.agricultural@gmail.com",www.altagrimachinery.com,,
13,"AUTHORITY FOR RESEARCH AND
 CONSERVATION OF CULTURAL HERITAGE","251-111540057
251-111540033
","crcch@ethionet.et
arcchpr@gmail.com",www.arcch.gov.et,13247,
14,BEROLE GENERAL TRADING PLC,"251-911685749
251-112590454
",horawordofa@gmail.com,,13424,
15,BIOTECH PVT.LTD.CO,"251-911223892
251-911885596
","biotech_maru@biotechet.com
info@biotechet.com",www.biotechethiopia.com,101601/1000,
16,BIOVET IMPORTS,"251-118547388
251-911114087
",contact.biovet@gmail.com,,,
17,BIZUYE TRADING,"251-115501081
251-911205883
251-115502413
",info@bizuye.com,www.bizuye.com,20140,
18,BRUH TESFA IRIGATION AND WATER TECHNOLOGY PLC,"251-344400452
251-344400453
251-344400467/03
251-342414143
251-344424141/4243
",bruhtesfab@yahoo.com,www.bruhtesfa.com,,
19,BRUH TESFA IRIGATION AND WATER TECHNOLOGY PLC,"251-115502990
251-115157660
",,www.bruhtesfa.com,,
20,DA IMPORT,"251-911110658
251-936626262
251-911922360
251-924116595
",daimporter@gmail.com,www.daimporter.com,,
21,E.A.R PLC,"251-111568989
251-911205114
251-111571343
",,,,
22,EAST AFRICA HOLIDING S.CO,"251-113201263
","aestafrica@holdings.com
",www.eastafricaholding.com,,
23,EKRAM CONSTRACTION AGRICAULTURAL INDUSTRY S.CO,251-113726913,,,,
24,ELECTRO MECCE ENGINEERING SERVICE,"251-114671688/04
251-118357474/75
251-911217132
","electro.2mecce@gmail.com
",www.electromecce.com,,
25,"EQUATORIAL DELTA ENGINEERING & 
TRADE","251-115543790
251-911608837
",edelta2003@gmail.com,,22786,
26,ESFRE TRADING PLC,"251-115577313
251-115577704
251-930109737
251-115585176
","esfertrading@gmail.com
",www.espretrading.com,,
27,ETHIOLIBYAN JOINT AGR. S.CO,"251-115512900
251-115513499
",ealco@ethionet.et,,,
28,"ETHIOPIAN AGRICULTURAL 
BUSINESS CORPORATION","251-114422679
251-114424177
251-114424184
251-114421312
","ethioagriboscom@gmail.com
","ethagribus.gov.et
www.ethioagribosco.com",6898,
29,G.A.C.M.A.S PLC.,"251-114341520
251-114345116
251-911202796
251-114341520
",,,,
30,GASCO TRADING PLC,"251-115513337
251-115531865
251-911201172
251-115514775
","gasco@ethionet.et
","www.gascotrading.org.et
",130032,
31,GEDEB ENGINEERING PLC (GEP),"251-114664261
251-911207218
251-114167939
",ukieew@gmail.com,,,
32,GETACHEW TESFAYE RETA,"251-114431482
251-911209574
",,,62306,
33,GOGGLE TRADING PVT.LTD.CO.,"251-111561400
251-911304297
","goggletrading@gmail.com
",www.goggletradingplc.com,,
34,HAGBES PVT.LTD.CO,"251-116639191
251-116638653/79
","hagbes@hagbes.com
hagbes@ethionet.et
",www.hagbes.com,1044,
35,HORTICAMP AGROM SYSTEMSPLC.,"251-116627961
251-116627965
",horticamp@ethionet.et,,,
36,KALEB SERVICE FARMERS HOUSE PLC,"251-114393650/51/52/53
251-114394838
251-114391459
251-911203360
251-114393674
","tesfayegm@kalebservice.com
info@kalebservice.com
",www.kalebservice.com,9594,
37,LEON’S MERCANTILE PLC,"251-118899067
251-118898602
251-118898577
",infoleonsmercantile@gmail.com,,117/1060,
38,MARKOS PLC,"251-111273319
251-111273312
251-111268085
251-934497911/15/16/08
251-111273318
",destad@markosplc.net,,50964,
39,MENGESHA TRADING AGENCY,"251-114400474
251-114400475
",mayhds@ethionet.et,,,
40,GENERAL MERCANTILE PLC,"251-114197645/46/47/48
251-111568181
251-111551546
251-111567751
251-114197644
251-111551233
","genmerc@gmail.com
",www.genmrec.com,,
,MGK MAKONNEN ETHIOPIA PLC.,"0114342858
0114342929
","mgk@ethionet.et
",www.mgkmakonnwn.com,746,
,NIDOPIA HORTI AGRO TRADING P.L.C.,"0116185577
",,,,
,PYRAMET TRADING PLC,"0116623003
0116627675
0921753131
0911832942
","fitsum@pyramet.com
info@pyramet.com
",www.pyramet.com,,
,QUBA GENERAL TRADING PLC,"0911217929
0911242124
","emranabdullahi@yahoo.com
emranabdullahi@gmail.com
",,9497,
,RANG ENGINEERING PLC,"0115547160
0115546247
0911514093
0911756840
0115546237
","info@rangenginering.com
",www.rangenginering.com,,
,REFARM PLC.,"011-6181688
0913926679
091-4706171
011-6181685
",refarm@ethionet.et,www.refarm.com,170622,
,RIES ENGINEERING S.C.,"0114421133
0114423249
0344406961
0114420667
","resco.sales@ethionet.et
","www.riesethiopia.com
",1116,
,RINNAH THERMAL COMFORT PLC,"0114168600/01
0911200894
0114662505
","info@rinnah.net
",www.rinnah.net,2078,
,T.D.T PLC,"0115546748/50/75
0115546919
",tdt@ethionet.et,,1018/1110,
,TECHNO-MAK PLC.,"011-4391095
011-4391098
",mekonnen@ethionet.et,www.technomarkethiopia.com,,
